,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe
0,nutritionfacts.org,https://nutritionfacts.org/audio/fighting-fatigue/,Reliable,-1,-1,174,7,7,128,18,-1,-1,3,22,14,4,-1,24,26,187,2,2,1,15,1,396,81,4,148,-1,-1,14,-1,98,1,-1,1,4,1,10,69,29,38,36,38,36,-1,1,1,1,-1,-1,-1
1,nutritionfacts.org,https://nutritionfacts.org/audio/new-thoughts-on-a-healthy-weight/,Reliable,-1,-1,162,17,17,119,8,-1,-1,2,33,9,3,3,26,19,141,30,5,1,23,1,423,46,5,180,-1,-1,11,-1,74,3,-1,1,-1,-1,12,72,42,60,24,40,20,1,-1,1,1,-1,-1,-1
2,nutritionfacts.org,https://nutritionfacts.org/audio/the-latest-on-childrens-health/,Reliable,1,-1,161,25,25,113,8,-1,-1,3,36,8,5,1,14,24,170,18,5,1,22,2,382,61,5,216,-1,-1,7,-1,98,4,3,-1,-1,-1,9,52,41,58,40,34,25,-1,-1,1,1,-1,-1,-1
3,nutritionfacts.org,https://nutritionfacts.org/audio/beans-beans-the-truth-about-lectins/,Reliable,4,-1,284,25,25,176,18,-1,-1,6,58,18,3,-1,30,29,244,8,8,-1,42,3,494,71,8,321,-1,-1,21,-1,137,4,3,1,-1,-1,23,132,55,55,76,69,41,2,-1,1,2,-1,-1,-1
4,nutritionfacts.org,https://nutritionfacts.org/audio/new-research-on-cholesterol/,Reliable,2,-1,193,35,35,138,21,-1,-1,3,51,13,1,1,38,28,200,11,3,-1,18,3,446,68,7,187,-1,-1,21,1,114,1,2,2,-1,-1,12,83,47,53,46,49,42,4,-1,1,-1,-1,-1,-1
5,nutritionfacts.org,https://nutritionfacts.org/audio/dealing-with-eczema/,Reliable,2,-1,201,20,20,129,14,-1,-1,1,39,19,2,-1,24,34,168,14,6,-1,13,3,424,52,3,151,1,-1,13,1,114,9,-1,-1,-1,-1,15,75,59,45,43,38,25,3,-1,1,1,-1,-1,-1
6,nutritionfacts.org,https://nutritionfacts.org/audio/womens-health-the-best-diet-for-fibroids/,Reliable,1,-1,234,26,26,117,19,1,-1,1,33,14,3,3,40,32,221,19,7,-1,27,3,405,43,5,256,-1,-1,15,-1,101,7,-1,1,-1,-1,11,95,36,41,55,59,21,2,-1,1,-1,-1,-1,-1
7,nutritionfacts.org,https://nutritionfacts.org/audio/diet-and-autism/,Reliable,1,-1,287,32,32,174,32,-1,-1,3,31,20,7,-1,34,26,211,12,2,-1,44,4,497,118,4,197,-1,-1,22,-1,139,4,-1,2,1,-1,33,124,46,55,44,51,75,2,9,1,-1,-1,-1,-1
8,nutritionfacts.org,https://nutritionfacts.org/audio/do-we-need-an-annual-check-up/,Reliable,4,-1,161,34,34,102,14,-1,-1,2,15,11,1,-1,17,19,161,6,3,-1,22,4,290,45,3,150,-1,-1,17,-1,87,3,-1,4,-1,-1,14,71,38,34,34,43,21,4,-1,1,-1,-1,-1,-1
9,nutritionfacts.org,https://nutritionfacts.org/audio/your-brain-on-cell-phones/,Reliable,1,-1,158,5,5,101,16,-1,-1,2,42,10,8,-1,17,28,133,6,6,-1,23,1,346,65,5,161,-1,-1,16,-1,84,3,-1,1,-1,-1,15,73,20,35,39,40,41,2,1,1,3,-1,-1,-1
10,nutritionfacts.org,https://nutritionfacts.org/audio/is-your-toothpaste-safe/,Reliable,1,-1,188,17,17,113,23,-1,-1,2,29,18,1,2,44,23,174,10,7,-1,29,1,359,74,4,145,-1,-1,13,-1,89,4,1,1,-1,-1,13,80,35,57,34,43,28,2,2,1,-1,-1,-1,-1
11,nutritionfacts.org,https://nutritionfacts.org/audio/dr-gregers-daily-dozen/,Reliable,1,-1,157,10,10,96,10,-1,-1,1,30,10,2,-1,37,19,129,2,5,-1,18,-1,273,42,4,172,1,-1,21,-1,84,1,-1,1,1,1,4,91,21,33,38,39,16,3,-1,1,1,-1,-1,-1
12,nutritionfacts.org,https://nutritionfacts.org/audio/to-pee-or-not-to-pee/,Reliable,-1,-1,205,4,4,134,10,-1,-1,3,44,15,3,-1,22,19,164,10,8,-1,22,-1,429,63,5,211,-1,-1,18,-1,108,3,1,2,-1,-1,16,83,47,55,49,52,35,2,1,1,-1,-1,-1,-1
13,nutritionfacts.org,https://nutritionfacts.org/2015/08/13/how-walnuts-can-improve-artery-function/,Reliable,-1,-1,40,3,3,28,6,1,-1,-1,22,1,-1,-1,3,7,41,3,-1,-1,8,-1,90,27,2,44,-1,-1,2,-1,19,1,1,-1,-1,-1,-1,19,17,11,9,11,4,-1,-1,-1,-1,-1,-1,-1
14,nutritionfacts.org,https://nutritionfacts.org/2014/08/14/how-the-meat-industry-designed-a-highly-misleading-study/,Reliable,3,-1,56,8,8,39,7,-1,-1,-1,24,5,-1,1,7,3,44,1,-1,-1,9,2,157,55,5,31,-1,1,-1,-1,29,3,-1,1,-1,-1,2,22,14,27,20,15,20,-1,-1,-1,-1,-1,-1,-1
15,consortiumnews.com,https://consortiumnews.com/2015/08/19/the-honduran-coups-ugly-aftermath/,Reliable,3,-1,56,5,5,49,1,-1,-1,1,25,2,-1,-1,10,10,102,1,3,-1,2,-1,169,117,3,86,-1,-1,2,-1,27,-1,-1,1,-1,-1,1,12,42,24,23,15,5,-1,-1,-1,-1,-1,-1,-1
16,christianpost.com,https://www.christianpost.com/news/veggietales-creator-bankruptcy-humbled-me-killed-my-idol-50119/,Reliable,-1,-1,43,-1,1,47,1,-1,-1,-1,9,1,-1,-1,-1,4,34,-1,1,-1,6,-1,107,92,2,35,-1,-1,6,1,24,-1,-1,-1,-1,-1,3,37,51,21,12,7,16,-1,2,-1,-1,-1,-1,-1
17,consortiumnews.com,http://www.consortiumnews.com/2010/121710.html,Reliable,3,16,217,20,20,146,10,1,-1,5,71,-1,-1,-1,79,16,320,3,3,-1,8,-1,511,670,39,251,-1,-1,2,-1,91,4,1,4,-1,-1,3,44,197,76,51,27,17,-1,-1,-1,-1,-1,-1,13
18,consortiumnews.com,http://www.consortiumnews.com/2011/020611.html,Reliable,5,48,211,14,13,146,13,1,-1,9,82,7,-1,-1,22,27,313,5,2,-1,10,-1,446,434,21,301,-1,-1,4,-1,92,3,-1,1,-1,-1,2,52,190,71,78,24,18,-1,-1,1,-1,1,-1,34
19,consortiumnews.com,http://www.consortiumnews.com/2010/122910b.html,Reliable,1,18,151,10,10,128,15,-1,-1,3,53,5,-1,-1,32,21,214,3,2,-1,11,-1,325,303,14,210,-1,-1,1,-1,65,1,1,1,-1,-1,-1,38,144,48,57,17,8,-1,-1,1,-1,-1,-1,15
20,consortiumnews.com,http://www.consortiumnews.com/2011/012911.html,Reliable,2,13,169,13,13,122,19,1,-1,5,44,6,-1,2,37,27,299,6,5,-1,14,-1,446,408,17,184,-1,-1,4,-1,119,1,-1,4,1,-1,1,57,137,69,41,25,14,-1,-1,1,-1,-1,-1,10
21,consortiumnews.com,https://consortiumnews.com/2013/12/17/judge-leons-dirty-climb-to-the-bench/,Reliable,1,-1,123,15,15,97,5,-1,-1,1,44,11,-1,1,32,13,175,1,1,-1,13,-1,351,417,13,128,-1,-1,7,-1,62,-1,-1,6,1,-1,1,60,145,56,28,26,13,2,-1,-1,-1,-1,-1,-1
22,consortiumnews.com,https://consortiumnews.com/2016/07/15/americas-unbridged-racial-divide/,Reliable,-1,-1,66,1,1,56,12,-1,-1,-1,17,4,-1,-1,10,6,101,2,2,-1,8,1,154,130,4,94,-1,-1,7,-1,60,1,2,3,-1,-1,5,20,36,16,20,25,19,-1,-1,-1,-1,-1,-1,-1
23,consortiumnews.com,https://consortiumnews.com/2017/12/11/russia-gates-litany-of-corrections/,Reliable,-1,-1,97,4,4,85,7,-1,-1,4,22,9,-1,2,39,18,203,2,1,1,10,2,385,295,17,142,-1,-1,3,-1,88,2,-1,2,-1,-1,2,35,100,56,46,34,26,1,1,-1,-1,-1,-1,-1
24,consortiumnews.com,https://consortiumnews.com/2015/03/20/how-mandela-and-s-africa-were-freed-2/,Reliable,-1,-1,83,5,5,42,5,-1,-1,1,17,5,-1,1,15,2,97,1,2,-1,3,-1,187,134,4,58,-1,-1,2,-1,53,2,-1,2,-1,-1,3,20,33,17,23,16,18,-1,-1,1,-1,-1,-1,-1
25,consortiumnews.com,https://consortiumnews.com/2011/11/09/who-is-judge-richard-leon/,Reliable,3,-1,120,11,11,93,11,1,-1,4,53,6,-1,-1,28,10,161,-1,2,-1,10,-1,320,395,12,131,-1,-1,3,-1,57,-1,-1,5,1,-1,-1,59,133,52,27,27,9,1,-1,-1,-1,-1,-1,-1
26,consortiumnews.com,https://consortiumnews.com/2014/07/08/turning-japan-back-toward-militarism/,Reliable,-1,-1,150,9,9,137,19,-1,-1,1,8,17,9,3,12,14,169,2,4,1,11,-1,252,267,13,104,-1,1,15,-1,92,-1,-1,6,-1,-1,11,60,45,62,22,30,39,1,2,1,-1,-1,-1,-1
27,consortiumnews.com,https://consortiumnews.com/2015/08/31/ron-paul-and-lost-lessons-of-war/,Reliable,-1,-1,114,4,4,100,2,-1,-1,-1,22,7,-1,1,11,16,219,3,1,-1,26,-1,292,302,27,118,-1,-1,4,-1,101,1,1,1,-1,1,1,42,70,51,40,42,25,1,-1,1,1,-1,-1,-1
28,consortiumnews.com,https://consortiumnews.com/2014/01/21/human-rights-watchs-syria-dilemma/,Reliable,1,-1,33,2,2,25,6,-1,-1,-1,11,2,-1,-1,13,5,58,-1,1,-1,6,-1,116,113,10,38,-1,-1,-1,-1,20,1,-1,-1,-1,-1,-1,16,23,13,12,10,11,-1,-1,-1,-1,-1,-1,-1
29,consortiumnews.com,https://consortiumnews.com/2014/01/24/mlk-and-the-curse-of-moderation/,Reliable,-1,-1,72,1,1,83,12,-1,-1,2,10,6,-1,-1,4,15,130,1,3,-1,16,-1,240,136,12,109,-1,-1,-1,-1,63,-1,-1,-1,-1,-1,1,37,61,27,27,23,15,1,-1,-1,-1,-1,-1,-1
30,consortiumnews.com,https://consortiumnews.com/2013/01/17/the-iraq-war-surge-myth-returns/,Reliable,1,-1,71,5,5,55,4,-1,-1,-1,28,3,-1,2,19,12,122,3,4,-1,6,-1,184,226,8,74,-1,-1,2,-1,59,-1,-1,-1,1,-1,-1,26,66,30,25,15,4,-1,-1,1,-1,-1,-1,-1
