,domain,url,urlType,R_norm_full_text_Flesch_reading_ease,R_norm_full_text_Flesch_kincaid_grade,R_norm_full_text_smog,R_norm_full_text_gunning_fog,R_norm_full_text_words_per_sentence,R_norm_full_text_capitalized_words,R_norm_full_text_lexicon,R_norm_full_text_urls_counts,R_norm_full_text_long_words,R_norm_full_text_syllables,R_norm_full_text_stop_words,R_norm_full_text_sentences,R_norm_full_text_linsear_write,R_norm_full_text_automated_readability,R_norm_full_text_characters_total,R_norm_full_text_coleman_liax,R_norm_full_text_difficult_words,R_norm_full_text_words_total
0,nutritionfacts.org,https://nutritionfacts.org/audio/fighting-fatigue/,Reliable,0.587947883,0.426751592,0.695652174,0.377368056,0.314368289,0.13229572,0.443028486,0,0.443056943,0.470830989,0.008756162,0.555084746,0.084309133,0.476851852,0.465971163,0.700363636,0.543909348,0.504220069
1,nutritionfacts.org,https://nutritionfacts.org/audio/new-thoughts-on-a-healthy-weight/,Reliable,0.701049584,0.27388535,0.600790514,0.291428028,0.453806189,0.08690013,0.454647676,0,0.427572428,0.443068843,0.008832462,0.466101695,0.044496487,0.361111111,0.449977855,0.519272727,0.433427762,0.502031885
2,nutritionfacts.org,https://nutritionfacts.org/audio/the-latest-on-childrens-health/,Reliable,0.700868621,0.401273885,0.632411067,0.366822381,0.454338699,0.116731518,0.475637181,0,0.455544456,0.472331645,0.008363431,0.478813559,0.028688525,0.444444444,0.479503961,0.582545455,0.497167139,0.515786183
3,nutritionfacts.org,https://nutritionfacts.org/audio/beans-beans-the-truth-about-lectins/,Reliable,0.846181687,0.382165605,0.640316206,0.253733536,0.481515513,0.158236057,0.682158921,0,0.66983017,0.657099981,0.002653888,0.699152542,0.098360656,0.490740741,0.687269327,0.570181818,0.614730878,0.771491091
4,nutritionfacts.org,https://nutritionfacts.org/audio/new-research-on-cholesterol/,Reliable,0.708288093,0.541401274,0.699604743,0.299524442,0.428310793,0.11154345,0.53035982,0,0.51048951,0.543425249,0.005713907,0.584745763,0.098360656,0.615740741,0.549776094,0.646545455,0.545325779,0.609878087
5,nutritionfacts.org,https://nutritionfacts.org/audio/dealing-with-eczema/,Reliable,0.72204126,0.343949045,0.628458498,0.278497804,0.380725712,0.099870298,0.480884558,0,0.457542458,0.481710748,0.007356045,0.555084746,0.147540984,0.384259259,0.484917081,0.544727273,0.492917847,0.547983745
6,nutritionfacts.org,https://nutritionfacts.org/audio/womens-health-the-best-diet-for-fibroids/,Reliable,0.668657257,0.751592357,0.766798419,0.370341269,0.566653661,0.08690013,0.532233883,0,0.527472527,0.556180829,0.005706446,0.504237288,0.098360656,0.74537037,0.553958959,0.663272727,0.542492918,0.610190685
7,nutritionfacts.org,https://nutritionfacts.org/audio/diet-and-autism/,Reliable,0.713716974,0.375796178,0.632411067,0.26079067,0.409851064,0.134889754,0.625562219,0,0.625374625,0.65972613,0.0032507,0.720338983,0.147540984,0.439814815,0.670291816,0.713454545,0.628895184,0.733666771
8,nutritionfacts.org,https://nutritionfacts.org/audio/do-we-need-an-annual-check-up/,Reliable,0.714621788,0.401273885,0.656126482,0.343389324,0.406439213,0.093385214,0.386431784,0,0.381618382,0.406865504,0.010854949,0.440677966,0.101639344,0.416666667,0.402637665,0.624727273,0.434844193,0.450140669
9,nutritionfacts.org,https://nutritionfacts.org/audio/your-brain-on-cell-phones/,Reliable,0.704668838,0.324840764,0.636363636,0.328966875,0.440885936,0.115434501,0.422413793,0,0.401598402,0.420558995,0.010275642,0.436440678,0.098360656,0.365740741,0.42340436,0.570181818,0.42776204,0.463894967
