,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
0,nutritionfacts.org,https://nutritionfacts.org/audio/fighting-fatigue/,Reliable,2,26,70,0,5651.25,1,1,0,0,1,0,0,0,1,5651.25,5651.25,1,0,0,0,1,1
1,nutritionfacts.org,https://nutritionfacts.org/audio/new-thoughts-on-a-healthy-weight/,Reliable,1,26,61,1,-1,1,0,0,0,0,0,1,0,0,-1,-1,1,0,0,0,0,1
2,nutritionfacts.org,https://nutritionfacts.org/audio/the-latest-on-childrens-health/,Reliable,2,24,62,1,5.333333333,2,0,0,0,0,0,2,0,0,5.333333333,5.333333333,2,0,0,0,0,1
3,nutritionfacts.org,https://nutritionfacts.org/audio/beans-beans-the-truth-about-lectins/,Reliable,8,20,44,3,18664.18333,8,0,0,1,0,6,1,0,0,2666.311905,7235.495238,1,1,1,0,5,1
4,nutritionfacts.org,https://nutritionfacts.org/audio/new-research-on-cholesterol/,Reliable,5,38,93,2,11813.53333,2,3,1,0,0,0,1,3,0,2953.383333,3708.545833,3,0,0,0,2,1
5,nutritionfacts.org,https://nutritionfacts.org/audio/dealing-with-eczema/,Reliable,1,11,26,0,-1,1,0,0,0,0,0,1,0,0,-1,-1,1,0,0,0,0,1
6,nutritionfacts.org,https://nutritionfacts.org/audio/womens-health-the-best-diet-for-fibroids/,Reliable,2,21,33,0,-1,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1
7,nutritionfacts.org,https://nutritionfacts.org/audio/diet-and-autism/,Reliable,8,25,49,3,11775.78333,7,1,1,0,1,0,5,1,0,1682.254762,4961.745238,3,1,0,0,4,1
8,nutritionfacts.org,https://nutritionfacts.org/audio/do-we-need-an-annual-check-up/,Reliable,5,8,32,1,1482.616667,4,1,0,3,0,0,1,0,1,370.6541667,559.8333333,2,1,0,0,2,1
9,nutritionfacts.org,https://nutritionfacts.org/audio/your-brain-on-cell-phones/,Reliable,5,0,4,0,7727.066667,1,4,0,1,0,0,0,4,0,1931.766667,3871.295833,2,0,0,0,3,1
10,nutritionfacts.org,https://nutritionfacts.org/audio/is-your-toothpaste-safe/,Reliable,3,37,68,0,22.35,3,0,0,0,0,0,3,0,0,11.175,11.19166667,2,0,0,1,0,1
11,nutritionfacts.org,https://nutritionfacts.org/audio/dr-gregers-daily-dozen/,Reliable,7,28,76,2,7387.316667,6,1,0,0,0,2,4,1,0,1231.219444,3313.083333,2,0,0,0,5,1.75
12,nutritionfacts.org,https://nutritionfacts.org/audio/to-pee-or-not-to-pee/,Reliable,2,14,41,0,506.5666667,2,0,0,0,0,1,1,0,0,506.5666667,506.5666667,1,0,0,0,1,1
13,nutritionfacts.org,https://nutritionfacts.org/2015/08/13/how-walnuts-can-improve-artery-function/,Reliable,2,1,2,2,4434.316667,1,1,0,0,1,0,0,1,0,4434.316667,4434.316667,1,0,0,0,1,1
14,nutritionfacts.org,https://nutritionfacts.org/2014/08/14/how-the-meat-industry-designed-a-highly-misleading-study/,Reliable,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,1
