,domain,url,urlType,T_normTotalTweets,T_normTotalRetweets,T_normTotalLikes,T_normTotalReplies,T_normCountWeekDay,T_normCountWeekEnd,T_normCountMonday,T_normCountTuesday,T_normCountWednesday,T_normCountThursday,T_normCountFriday,T_normCountSaturday,T_normCountSunday,T_normAvgTweetsPerUniqUser,T_normTimeAbsBin1count0to6,T_normTimeAbsBin2count6to12,T_normTimeAbsBin3count12to18,T_normTimeAbsBin4count18to24,T_normTimeAbsBin5count24plus,T_normSpan,T_normAvgTimeBetweenTweets,T_normAvgTimeOfNextTweet,T_percentWeekDayByTotalTweets,T_percentWeekEndByTotalTweets,T_percentMondayByTotalTweets,T_percentTuesdayByTotalTweets,T_percentWednesdayByTotalTweets,T_percentThursdayByTotalTweets,T_percentFridayByTotalTweets,T_percentSaturdayByTotalTweets,T_percentSundayByTotalTweets
0,nutritionfacts.org,https://nutritionfacts.org/audio/fighting-fatigue/,Reliable,0.000283046,0.001226994,0.003752345,0,0.000284172,0.000904159,0,0,0.000493827,0,0,0,0.001150748,0,0.5,0,0,0,0.5,0.070249584,0.178151995,0.112486992,0.5,0.5,0,0,0.5,0,0,0,0.5
1,nutritionfacts.org,https://nutritionfacts.org/audio/new-thoughts-on-a-healthy-weight/,Reliable,0,0.001226994,0.003269901,0.000553097,0.000284172,0,0,0,0,0,0.007042254,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,1,0,0
2,nutritionfacts.org,https://nutritionfacts.org/audio/the-latest-on-childrens-health/,Reliable,0.000283046,0.00113261,0.003323506,0.000553097,0.000568343,0,0,0,0,0,0.014084507,0,0,0,1,0,0,0,0,6.63E-05,0.00016813,0.000106159,1,0,0,0,0,0,1,0,0
3,nutritionfacts.org,https://nutritionfacts.org/audio/beans-beans-the-truth-about-lectins/,Reliable,0.001981319,0.000943841,0.002358617,0.001659292,0.002273373,0,0,0.000751315,0,0.015189873,0.007042254,0,0,0,0.125,0.125,0.125,0,0.625,0.232010813,0.084053755,0.144021075,1,0,0,0.125,0,0.75,0.125,0,0
4,nutritionfacts.org,https://nutritionfacts.org/audio/new-research-on-cholesterol/,Reliable,0.001132182,0.001793299,0.004985259,0.001106195,0.000568343,0.002712477,0.001133787,0,0,0,0.007042254,0.003807107,0,0,0.6,0,0,0,0.4,0.146851723,0.093103496,0.073817857,0.4,0.6,0.2,0,0,0,0.2,0.6,0
5,nutritionfacts.org,https://nutritionfacts.org/audio/dealing-with-eczema/,Reliable,0,0.000519113,0.001393728,0,0.000284172,0,0,0,0,0,0.007042254,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,1,0,0
6,nutritionfacts.org,https://nutritionfacts.org/audio/womens-health-the-best-diet-for-fibroids/,Reliable,0.000283046,0.000991034,0.001768963,0,0.000568343,0,0,0,0,0,0.014084507,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0
7,nutritionfacts.org,https://nutritionfacts.org/audio/diet-and-autism/,Reliable,0.001981319,0.001179802,0.002626642,0.001659292,0.001989201,0.000904159,0.001133787,0,0.000493827,0,0.035211268,0.001269036,0,0,0.375,0.125,0,0,0.5,0.14638246,0.053031992,0.098762539,0.875,0.125,0.125,0,0.125,0,0.625,0.125,0
8,nutritionfacts.org,https://nutritionfacts.org/audio/do-we-need-an-annual-check-up/,Reliable,0.001132182,0.000377537,0.001715358,0.000553097,0.001136687,0.000904159,0,0.002253944,0,0,0.007042254,0,0.001150748,0,0.4,0.2,0,0,0.4,0.018430118,0.011684632,0.01114337,0.8,0.2,0,0.6,0,0,0.2,0,0.2
9,nutritionfacts.org,https://nutritionfacts.org/audio/your-brain-on-cell-phones/,Reliable,0.001132182,0,0.00021442,0,0.000284172,0.003616637,0,0.000751315,0,0,0,0.005076142,0,0,0.4,0,0,0,0.6,0.096053655,0.060897693,0.077057363,0.2,0.8,0,0.2,0,0,0,0.8,0
10,nutritionfacts.org,https://nutritionfacts.org/audio/is-your-toothpaste-safe/,Reliable,0.000566091,0.001746107,0.003645135,0,0.000852515,0,0,0,0,0,0.021126761,0,0,0,0.666666667,0,0,0.333333333,0,0.000277828,0.000352285,0.000222768,1,0,0,0,0,0,1,0,0
